,price,price_open,price_high,price_low,change
300,631.77,631.77,631.77,631.77,631.77
301,638.80,638.80,638.80,638.80,638.80
302,639.79,639.79,639.79,639.79,639.79
303,644.17,644.17,644.17,644.17,644.17
304,640.20,640.20,640.20,640.20,640.20
305,643.00,643.00,643.00,643.00,643.00
306,637.01,637.01,637.01,637.01,637.01
307,637.63,637.63,637.63,637.63,637.63
308,641.74,641.74,641.74,641.74,641.74
309,618.87,618.87,618.87,618.87,618.87
310,616.56,616.56,616.56,616.56,616.56
311,620.50,620.50,620.50,620.50,620.50
312,620.13,620.13,620.13,620.13,620.13
313,613.51,613.51,613.51,613.51,613.51
314,614.09,614.09,614.09,614.09,614.09
315,610.98,610.98,610.98,610.98,610.98
316,612.57,612.57,612.57,612.57,612.57
317,609.09,609.09,609.09,609.09,609.09
318,614.09,614.09,614.09,614.09,614.09
319,611.10,611.10,611.10,611.10,611.10
320,604.60,604.60,604.60,604.60,604.60
321,603.76,603.76,603.76,603.76,603.76
322,605.53,605.53,605.53,605.53,605.53
323,609.14,609.14,609.14,609.14,609.14
324,600.36,600.36,600.36,600.36,600.36
325,602.55,602.55,602.55,602.55,602.55
326,603.29,603.29,603.29,603.29,603.29
327,597.08,597.08,597.08,597.08,597.08
328,597.43,597.43,597.43,597.43,597.43
329,600.05,600.05,600.05,600.05,600.05
330,609.79,609.79,609.79,609.79,609.79
331,613.03,613.03,613.03,613.03,613.03
332,607.69,607.69,607.69,607.69,607.69
333,610.01,610.01,610.01,610.01,610.01
334,611.81,611.81,611.81,611.81,611.81
335,613.88,613.88,613.88,613.88,613.88
336,614.23,614.23,614.23,614.23,614.23
337,611.62,611.62,611.62,611.62,611.62
338,612.08,612.08,612.08,612.08,612.08
339,628.00,628.00,628.00,628.00,628.00
340,626.25,626.25,626.25,626.25,626.25
341,631.73,631.73,631.73,631.73,631.73
342,619.75,619.75,619.75,619.75,619.75
343,615.23,615.23,615.23,615.23,615.23
344,611.50,611.50,611.50,611.50,611.50
345,614.52,614.52,614.52,614.52,614.52
346,609.89,609.89,609.89,609.89,609.89
347,579.85,579.85,579.85,579.85,579.85
348,572.73,572.73,572.73,572.73,572.73
349,576.15,576.15,576.15,576.15,576.15
350,579.49,579.49,579.49,579.49,579.49
351,574.78,574.78,574.78,574.78,574.78
352,574.17,574.17,574.17,574.17,574.17
353,568.55,568.55,568.55,568.55,568.55
354,578.01,578.01,578.01,578.01,578.01
355,577.20,577.20,577.20,577.20,577.20
356,580.32,580.32,580.32,580.32,580.32
357,583.54,583.54,583.54,583.54,583.54
358,588.01,588.01,588.01,588.01,588.01
359,581.42,581.42,581.42,581.42,581.42
360,582.01,582.01,582.01,582.01,582.01
361,573.50,573.50,573.50,573.50,573.50
362,572.21,572.21,572.21,572.21,572.21
363,571.83,571.83,571.83,571.83,571.83
364,574.24,574.24,574.24,574.24,574.24
365,564.64,564.64,564.64,564.64,564.64
366,569.44,569.44,569.44,569.44,569.44
367,583.73,583.73,583.73,583.73,583.73
368,585.50,585.50,585.50,585.50,585.50
369,591.27,591.27,591.27,591.27,591.27
370,590.28,590.28,590.28,590.28,590.28
371,604.10,604.10,604.10,604.10,604.10
372,604.10,604.10,604.10,604.10,604.10
373,604.10,604.10,604.10,604.10,604.10
374,604.00,604.00,604.00,604.00,604.00
375,607.99,607.99,607.99,607.99,607.99
376,623.67,623.67,623.67,623.67,623.67
377,654.99,654.99,654.99,654.99,654.99
378,658.34,658.34,658.34,658.34,658.34
379,654.51,654.51,654.51,654.51,654.51
380,648.47,648.47,648.47,648.47,648.47
381,654.17,654.17,654.17,654.17,654.17
382,661.82,661.82,661.82,661.82,661.82
383,654.03,654.03,654.03,654.03,654.03
384,648.04,648.04,648.04,648.04,648.04
385,665.01,665.01,665.01,665.01,665.01
386,665.85,665.85,665.85,665.85,665.85
387,675.00,675.00,675.00,675.00,675.00
388,674.30,674.30,674.30,674.30,674.30
389,683.20,683.20,683.20,683.20,683.20
390,665.33,665.33,665.33,665.33,665.33
391,665.50,665.50,665.50,665.50,665.50
392,659.78,659.78,659.78,659.78,659.78
393,653.70,653.70,653.70,653.70,653.70
394,667.19,667.19,667.19,667.19,667.19
395,647.95,647.95,647.95,647.95,647.95
396,649.72,649.72,649.72,649.72,649.72
397,648.11,648.11,648.11,648.11,648.11
398,664.80,664.80,664.80,664.80,664.80
399,640.51,640.51,640.51,640.51,640.51
400,677.04,677.04,677.04,677.04,677.04
401,667.76,667.76,667.76,667.76,667.76
402,681.34,681.34,681.34,681.34,681.34
403,659.29,659.29,659.29,659.29,659.29
404,705.04,705.04,705.04,705.04,705.04
405,674.75,674.75,674.75,674.75,674.75
406,674.74,674.74,674.74,674.74,674.74
407,639.68,639.68,639.68,639.68,639.68
408,646.30,646.30,646.30,646.30,646.30
409,662.20,662.20,662.20,662.20,662.20
410,627.42,627.42,627.42,627.42,627.42
411,664.87,664.87,664.87,664.87,664.87
412,666.05,666.05,666.05,666.05,666.05
413,625.80,625.80,625.80,625.80,625.80
414,606.02,606.02,606.02,606.02,606.02
415,668.88,668.88,668.88,668.88,668.88
416,743.90,743.90,743.90,743.90,743.90
417,767.30,767.30,767.30,767.30,767.30
418,757.60,757.60,757.60,757.60,757.60
419,748.66,748.66,748.66,748.66,748.66
420,769.45,769.45,769.45,769.45,769.45
421,696.88,696.88,696.88,696.88,696.88
422,684.51,684.51,684.51,684.51,684.51
423,705.88,705.88,705.88,705.88,705.88
424,671.00,671.00,671.00,671.00,671.00
425,614.52,614.52,614.52,614.52,614.52
426,580.08,580.08,580.08,580.08,580.08
427,575.52,575.52,575.52,575.52,575.52
428,583.05,583.05,583.05,583.05,583.05
429,576.88,576.88,576.88,576.88,576.88
430,585.22,585.22,585.22,585.22,585.22
431,574.00,574.00,574.00,574.00,574.00
432,572.67,572.67,572.67,572.67,572.67
433,570.87,570.87,570.87,570.87,570.87
434,538.80,538.80,538.80,538.80,538.80
435,536.79,536.79,536.79,536.79,536.79
436,530.69,530.69,530.69,530.69,530.69
437,532.89,532.89,532.89,532.89,532.89
438,531.00,531.00,531.00,531.00,531.00
439,527.01,527.01,527.01,527.01,527.01
